year,make,model,trim,state,mileage,color,interior,sellingprice
2008,Land Rover,Range Rover,HSE,ga,95381,white,tan,18000
2008,Land Rover,Range Rover,HSE,pa,53575,green,beige,19400
2011,Land Rover,Range Rover,Supercharged,tx,45258,black,black,44000
2011,Land Rover,Range Rover,HSE,tx,41673,black,black,43250
2008,Land Rover,Range Rover,HSE,nv,85543,gray,black,18400
2012,Land Rover,Range Rover,HSE,ca,22388,black,black,55000
2012,Land Rover,Range Rover,HSE,ca,22137,black,black,50500
2010,Land Rover,Range Rover,Supercharged,tn,56030,white,black,41200
2008,Land Rover,Range Rover,HSE,ca,92306,black,beige,18750
2008,Land Rover,Range Rover,Supercharged,wi,93794,black,beige,15200
2014,Land Rover,Range Rover,Supercharged LWB,ca,5573,white,black,106000
2012,Land Rover,Range Rover,HSE,ca,51782,gray,beige,44000
2011,Land Rover,Range Rover,Supercharged,ca,55228,white,black,43000
2011,Land Rover,Range Rover,HSE,ca,50953,gray,black,38500
2011,Land Rover,Range Rover,HSE,ca,37965,white,tan,42000
2010,Land Rover,Range Rover,Supercharged,fl,62151,black,beige,36200
2008,Land Rover,Range Rover,HSE,ca,82834,black,black,18100
2008,Land Rover,Range Rover,HSE,ga,117734,gray,beige,15800
2008,Land Rover,Range Rover,Supercharged,ca,150793,gray,black,15100
2008,Land Rover,Range Rover,HSE,ca,54084,white,white,26000
1999,Land Rover,Range Rover,4.6 HSE,ca,120056,gold,tan,1500
2014,Land Rover,Range Rover,HSE,ca,33995,black,black,82250
2011,Land Rover,Range Rover,HSE,co,45273,black,black,40700
2010,Land Rover,Range Rover,HSE,fl,115259,blue,beige,27200
2008,Land Rover,Range Rover,Supercharged,mo,76714,gray,tan,20500
2014,Land Rover,Range Rover,HSE,fl,16865,blue,tan,87500
2012,Land Rover,Range Rover,HSE,ca,45674,black,black,43000
2011,Land Rover,Range Rover,HSE,fl,19123,white,beige,47900
2008,Land Rover,Range Rover,HSE,ca,84130,white,beige,22500
2010,Land Rover,Range Rover,HSE,az,63435,gray,tan,31250
2012,Land Rover,Range Rover,HSE,ca,29767,gray,black,49000
2014,Land Rover,Range Rover,Supercharged,ca,9968,black,black,104000
2008,Land Rover,Range Rover,Supercharged,pa,97750,blue,tan,20500
2013,Land Rover,Range Rover,Supercharged,ca,15551,black,black,97000
2011,Land Rover,Range Rover,HSE,pa,51902,black,black,36500
2008,Land Rover,Range Rover,HSE,nj,100981,black,gray,15800
2002,Land Rover,Range Rover,4.6 HSE,wi,123590,gold,tan,300
2000,Land Rover,Range Rover,4.0 SE,md,137343,black,beige,400
2013,Land Rover,Range Rover,Supercharged,tn,30961,black,black,90400
2011,Land Rover,Range Rover,HSE,tn,33632,gray,tan,43750
2008,Land Rover,Range Rover,Supercharged,nj,69783,white,black,24750
2012,Land Rover,Range Rover,HSE,tx,45718,black,tan,46250
2012,Land Rover,Range Rover,HSE,wi,42363,gray,tan,44000
2008,Land Rover,Range Rover,HSE,wa,83922,black,black,19000
2011,Land Rover,Range Rover,HSE,pa,54282,gray,black,33000
2013,Land Rover,Range Rover,Autobiography,tx,38504,gray,beige,87000
2011,Land Rover,Range Rover,HSE,tx,19126,white,beige,49500
2008,Land Rover,Range Rover,HSE,fl,70367,red,beige,16600
2008,Land Rover,Range Rover,HSE,sc,98960,white,tan,18200
2013,Land Rover,Range Rover,HSE,pa,20292,black,beige,81500
2012,Land Rover,Range Rover,HSE,ca,15836,black,black,56000
2011,Land Rover,Range Rover,HSE,fl,77999,black,tan,32400
2008,Land Rover,Range Rover,Supercharged,ca,134885,blue,beige,16750
2011,Land Rover,Range Rover,Supercharged,ca,54307,black,black,42000
2008,Land Rover,Range Rover,Supercharged,ca,74192,white,beige,23000
2014,Land Rover,Range Rover,Supercharged,tn,10054,white,gray,101200
2014,Land Rover,Range Rover,Ebony Edition,ca,10927,black,black,105500
2008,Land Rover,Range Rover,HSE,ca,78867,black,brown,20000
2008,Land Rover,Range Rover,HSE,ga,95437,white,tan,17800
2008,Land Rover,Range Rover,Supercharged,ca,58060,white,gray,27700
2002,Land Rover,Range Rover,4.6 HSE,pa,134397,white,black,2600
2014,Land Rover,Range Rover,HSE,wi,12770,black,black,92600
2014,Land Rover,Range Rover,HSE,fl,22991,black,brown,83500
2014,Land Rover,Range Rover,Base,ca,10934,white,beige,93500
2012,Land Rover,Range Rover,HSE,ca,72364,white,black,36750
2011,Land Rover,Range Rover,HSE,ca,64094,blue,brown,35500
2011,Land Rover,Range Rover,HSE,ca,36938,white,brown,42500
2008,Land Rover,Range Rover,Supercharged,ca,70215,black,beige,17250
2014,Land Rover,Range Rover,Supercharged,ca,6678,black,gray,101000
2013,Land Rover,Range Rover,HSE,nj,37175,white,beige,76750
2011,Land Rover,Range Rover,Supercharged,pa,51656,black,black,42000
